Season,TeamName,eFGPct,RankeFGPct,TOPct,RankTOPct,ORPct,RankORPct,FTRate,RankFTRate
2022,Jacksonville,47.17314488,52,16.45481585,292,23.49665924,29,30.81272085,195
2022,Jacksonville State,48.02210588,85,17.08379162,258,26.31086142,99,21.11692845,6
2022,James Madison,53.32080201,315,20.55474146,60,31.52173913,311,27.50626566,99
2022,Kansas,46.9377756,45,18.41110106,166,28.70813397,209,27.78049976,104
2022,Kansas State,49.50696056,154,19.78377801,91,28.30009497,188,31.96055684,230
2022,Kennesaw State,53.06930693,306,18.1794818,189,27.91991101,171,35.31353135,294
2022,Kent State,48.47852029,111,19.61277948,101,26.5654649,110,36.03818616,304
2022,Kentucky,46.55787863,37,17.41733569,233,24.83333333,57,25.08924018,53
2022,LIU,48.5690699,114,18.08509389,192,29.75871314,243,29.77435333,171
2022,LSU,45.07786429,15,25.33208447,2,31.15029387,297,38.3759733,332
2022,La Salle,50.02842524,180,16.78898585,275,27.38432483,144,31.04036384,204
2022,Lafayette,53.69385343,326,17.2314023,245,30.01027749,257,25.82742317,64
2022,Lamar,52.89036545,298,17.85493552,211,31.87772926,321,38.4717608,333
2022,Lehigh,49.26108374,140,14.68883331,340,26.41165756,107,31.80076628,224
2022,Liberty,48.30713422,102,17.07326232,259,22.82398453,19,31.37847642,212
2022,Lipscomb,51.50181253,246,14.13410858,348,28.02436902,175,22.73433454,19
2022,Little Rock,56.32594711,355,19.99206198,84,30.60179257,277,30.95067906,200
2022,Long Beach State,51.64772727,256,19.95256604,85,27.01375246,120,27.89772727,109
2022,Longwood,50.58441558,207,20.18764495,78,24.47163515,47,26.75324675,86
2022,Louisiana State,46.88981043,42,18.3314035,173,27.64150943,159,35.48578199,295
2022,Louisiana-Monroe,52.8597786,297,19.40607206,110,33.43782654,342,34.68634686,286
2022,Louisiana Tech,48.21232123,96,19.33173395,115,28.20512821,185,28.10781078,117
2022,Louisville,50.35287731,190,16.25195115,297,24.82269504,55,29.96742671,174
2022,Loyola (IL),47.01848539,48,19.89014446,87,23.89463782,36,28.38401908,125
2022,Loyola (MD),51.3592233,239,20.75482712,51,26.05863192,87,30.67961165,191
2022,Loyola Marymount,54.66838377,342,18.06865037,193,27.31591449,140,31.87379266,227
2022,Maine,54.94773519,346,18.31248955,177,30.53527981,274,32.82229965,249
2022,Manhattan,52.20410628,273,19.87626533,88,30.89598352,287,34.66183575,285
2022,Marist,48.33524684,105,16.82346431,274,27.28119181,137,28.47301952,128
2022,Marquette,46.67532468,39,19.12932454,132,31.42389525,306,29.71428571,168
2022,Marshall,52.0167627,269,17.80474572,214,28.11934901,180,28.28706129,122
2022,Maryland,50.18334206,185,16.04671479,304,27.61653474,157,24.62022001,43
2022,Maryland-Eastern Shore,50.96230954,223,23.79995673,9,30.39473684,270,36.40737771,310
2022,Massachusetts,55.22151899,348,17.98886297,199,29.74504249,242,29.2721519,156
2022,McNeese State,51.97707736,266,17.81654954,213,28.91221374,218,40.22922636,342
2022,Memphis,46.47155361,35,20.86520603,44,30.95843936,288,32.87746171,250
2022,Mercer,53.04496301,304,15.86671956,309,27.03777336,122,28.57142857,132
